[Cycle  156] PC: 0000026c | opcode: 00 | inst_ID: 010b402b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  157] PC: 00000270 | opcode: 00 | inst_ID: 014b5824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  158] PC: 00000274 | opcode: 00 | inst_ID: 01094826 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: fffffffd
[Cycle  159] PC: 00000278 | opcode: 00 | inst_ID: 012b582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000001
[Cycle  160] PC: 0000027c | opcode: 00 | inst_ID: 012b5824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  161] PC: 00000280 | opcode: 00 | inst_ID: 01094827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: fffffffc
[Cycle  162] PC: 00000284 | opcode: 00 | inst_ID: 01084027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000001
[Cycle  163] PC: 00000288 | opcode: 00 | inst_ID: 012a4021 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  164] PC: 0000028c | opcode: 00 | inst_ID: 01085027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000002
[Cycle  165] PC: 00000290 | opcode: 00 | inst_ID: 0129402b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: fffffffe
[Cycle  166] PC: 00000294 | opcode: 00 | inst_ID: 0168502a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000002
[Cycle  167] PC: 00000298 | opcode: 00 | inst_ID: 016a5026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: fffffffd
[Cycle  168] PC: 0000029c | opcode: 00 | inst_ID: 01685826 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  169] PC: 000002a0 | opcode: 00 | inst_ID: 012b4024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  170] PC: 000002a4 | opcode: 00 | inst_ID: 01295025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  171] PC: 000002a8 | opcode: 00 | inst_ID: 01295826 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  172] PC: 000002ac | opcode: 00 | inst_ID: 01285824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  173] PC: 000002b0 | opcode: 00 | inst_ID: 0149502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000002
